Sesso,DataNascita,DataDecesso,EtaDecesso
F,1914-05-18,2013-09-27,99
F,1907-05-07,2002-02-05,94
M,1940-07-10,2013-08-12,73
M,1953-01-22,2012-03-05,59
M,1931-11-04,2005-06-10,73
F,1907-04-13,2007-05-26,100
F,1970-11-21,2014-10-16,43
F,1924-12-22,2017-10-20,92
F,1934-05-15,2019-09-12,85
M,1920-09-04,2007-11-19,87
F,1927-08-09,2012-06-13,84
F,1925-03-13,2012-01-04,86
M,1927-12-04,2006-08-06,78
F,1928-11-28,2011-04-27,82
F,1933-09-10,2008-10-06,75
M,1960-03-31,2005-01-15,44
M,1943-03-26,2010-04-11,67
F,1917-02-11,2002-02-11,85
F,1926-05-29,2005-10-21,79
M,1962-01-13,2005-05-29,43
M,1923-05-12,2017-01-14,93
F,1924-01-17,2017-12-09,93
M,1936-01-11,2011-12-17,75
F,1931-02-22,2001-06-07,70
M,1935-07-27,2013-05-28,77
M,1929-05-19,2007-12-10,78
M,1932-08-08,2013-06-09,80
M,1922-09-01,2004-08-27,81
F,1911-10-04,2007-12-24,96
M,1941-12-30,2002-12-06,60
F,1926-10-11,2016-09-03,89
F,1923-02-15,2018-11-20,95
F,1928-02-29,2015-10-12,87
M,1916-10-29,2007-04-24,90
M,1928-05-17,2008-08-14,80
F,1925-06-15,2012-01-03,86
M,1918-01-31,2002-12-27,84
F,1935-04-23,2000-11-09,65
M,1929-06-03,2002-02-04,72
F,1927-06-12,2014-03-22,86
M,1962-01-20,2009-12-30,47
M,1928-11-04,2008-12-03,80
M,1933-11-07,2010-11-27,77
M,1929-08-27,2015-12-11,86
F,1922-08-16,2008-03-12,85
M,1918-06-03,2010-08-01,92
F,1925-08-05,2015-12-27,90
M,1930-03-05,2016-04-04,86
M,1927-05-20,2013-11-12,86
M,1944-05-10,2009-08-09,65
F,1915-09-22,2003-06-14,87
F,1922-10-09,2007-06-03,84
F,1924-07-13,2001-03-22,76
F,1925-12-14,2014-11-22,88
M,1923-06-19,2008-04-05,84
M,1926-01-12,2010-10-03,84
M,1927-10-29,2000-01-30,72
F,1938-05-13,2011-12-19,73
M,1927-11-02,2010-08-27,82
M,1931-12-23,2007-08-27,75
F,1914-07-01,2013-07-01,99
M,1916-05-24,2000-03-04,83
M,1938-01-03,2012-05-08,74
M,1942-11-11,2020-04-18,77
M,1964-02-11,2013-04-15,49
M,1942-05-08,2013-05-21,71
M,1940-12-31,2018-02-02,77
F,1927-08-21,2008-10-27,81
F,1934-11-08,2019-09-23,84
M,1911-12-25,2010-11-24,98
M,1929-12-18,2008-09-27,78
F,1921-10-30,2012-01-18,90
M,1932-02-10,2008-12-25,76
M,1930-01-29,2001-12-06,71
M,1912-07-14,2002-01-23,89
M,1928-04-11,2002-04-28,74
F,1926-10-16,2009-04-01,82
F,1919-09-21,2018-02-27,98
F,1922-05-06,2007-03-01,84
F,1932-08-19,2018-06-26,85
F,1926-07-25,2019-05-30,92
M,1913-11-19,2001-08-17,87
F,1929-06-14,2012-01-16,82
M,1966-05-24,2014-09-15,48
F,1914-01-07,2009-11-25,95
F,1921-11-10,2015-01-22,93
F,1929-06-03,2008-04-06,78
F,1948-06-16,2003-02-07,54
M,1940-06-10,2007-10-23,67
M,1922-10-09,2016-02-26,93
F,1928-03-05,2020-01-18,91
M,1953-02-15,2002-06-21,49
M,1935-03-22,2006-04-21,71
F,1928-12-21,2010-02-22,81
M,1930-03-31,2008-10-02,78
M,1962-05-12,2012-03-08,49
M,1925-02-06,2002-08-26,77
M,1921-06-25,2002-04-07,80
F,1942-03-22,2016-06-09,74
M,1930-08-06,2012-12-12,82
F,1922-07-11,2016-01-09,93
M,1926-01-23,2002-01-25,76
F,1915-07-16,2008-06-28,92
F,1909-10-07,2001-05-30,91
F,1960-09-10,2009-07-28,48
F,1924-12-28,2020-03-15,95
F,1941-11-30,2010-08-03,68
F,1924-06-06,2009-04-25,84
